episode,agent_id,behaviour,count,decision_module
1,0,"IF,no berries,high health,medium society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,0,"IF,low berries,high health,medium society wellbeing,THEN,throw",4,RuleBasedDecisionModule
1,0,"IF,low berries,medium health,medium society wellbeing,THEN,throw",3,RuleBasedDecisionModule
1,0,"IF,low berries,medium health,low society wellbeing,THEN,throw",34,RuleBasedDecisionModule
1,0,"IF,no berries,medium health,low society wellbeing,THEN,move",10,RuleBasedDecisionModule
1,0,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,0,"IF,medium berries,medium health,low society wellbeing,THEN,throw",2,RuleBasedDecisionModule
1,0,"IF,medium berries,low health,medium society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,0,"IF,medium berries,low health,low society wellbeing,THEN,eat",4,RuleBasedDecisionModule
1,0,"IF,low berries,low health,low society wellbeing,THEN,eat",6,RuleBasedDecisionModule
1,0,"IF,no berries,low health,low society wellbeing,THEN,move",9,RuleBasedDecisionModule
1,1,"IF,no berries,high health,medium society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,1,"IF,low berries,high health,medium society wellbeing,THEN,throw",4,RuleBasedDecisionModule
1,1,"IF,low berries,medium health,medium society wellbeing,THEN,throw",2,RuleBasedDecisionModule
1,1,"IF,low berries,medium health,low society wellbeing,THEN,throw",31,RuleBasedDecisionModule
1,1,"IF,low berries,medium health,medium society wellbeing,THEN,move",1,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,1,"IF,medium berries,low health,medium society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,1,"IF,no berries,medium health,low society wellbeing,THEN,move",18,RuleBasedDecisionModule
1,1,"IF,low berries,low health,low society wellbeing,THEN,eat",8,RuleBasedDecisionModule
1,1,"IF,no berries,low health,low society wellbeing,THEN,move",5,RuleBasedDecisionModule
1,1,"IF,medium berries,low health,low society wellbeing,THEN,eat",2,RuleBasedDecisionModule
1,1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,2,"IF,no berries,high health,medium society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,2,"IF,low berries,high health,medium society wellbeing,THEN,throw",3,RuleBasedDecisionModule
1,2,"IF,low berries,medium health,medium society wellbeing,THEN,throw",4,RuleBasedDecisionModule
1,2,"IF,low berries,medium health,low society wellbeing,THEN,throw",26,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",1,RuleBasedDecisionModule
1,2,"IF,medium berries,medium health,low society wellbeing,THEN,throw",2,RuleBasedDecisionModule
1,2,"IF,low berries,low health,medium society wellbeing,THEN,eat",1,RuleBasedDecisionModule
1,2,"IF,no berries,medium health,low society wellbeing,THEN,move",20,RuleBasedDecisionModule
1,2,"IF,low berries,low health,low society wellbeing,THEN,eat",10,RuleBasedDecisionModule
1,2,"IF,no berries,low health,low society wellbeing,THEN,move",6,RuleBasedDecisionModule
1,3,"IF,no berries,high health,medium society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,3,"IF,low berries,high health,medium society wellbeing,THEN,throw",3,RuleBasedDecisionModule
1,3,"IF,low berries,medium health,medium society wellbeing,THEN,throw",5,RuleBasedDecisionModule
1,3,"IF,low berries,medium health,low society wellbeing,THEN,throw",27,RuleBasedDecisionModule
1,3,"IF,low berries,low health,low society wellbeing,THEN,eat",11,RuleBasedDecisionModule
1,3,"IF,no berries,low health,low society wellbeing,THEN,move",2,RuleBasedDecisionModule
1,3,"IF,no berries,medium health,low society wellbeing,THEN,move",25,RuleBasedDecisionModule
